aircraft_Id; maximum_temperature_deviation_in_flight; minimum_temperature_deviation_in_flight; maximum_temperature_deviation_in_TOLD; minimum_temperature_deviation_in_TOLD
B788GE70;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32808.0 : -30.0|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
B789;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32808.0 : -30.0|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
AT45;-1000.0 : 33.0|0.0 : 35.0|25000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5;-1000.0 : 33.0|0.0 : 35.0|8500.0 : 35.0;-1000.0 : -52.0|8500.0 : -33.2
A340-213;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 34.5|41100.0 : 24.5|41500.0 : 23.7;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -30.6|36089.0 : -23.5|41500.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
B788;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32808.0 : -30.0|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
B77W;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32808.0 : -30.0|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
A333;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 34.5|41100.0 : 24.5|41500.0 : 23.7;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -30.6|36089.0 : -23.5|41500.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
AT43;-1000.0 : 35.0|25000.0 : 35.0;-1000.0 : -56.0|5000.0 : -44.1|11100.0 : -47.0|25000.0 : -19.5;-1000.0 : 35.0|8500.0 : 35.0;-1000.0 : -56.0|5000.0 : -44.1|8500.0 : -45.8
A3ST;-1000.0 : 33.0|35000.0 : 24.3;-1000.0 : -47.0|35000.0 : -11.7;-1000.0 : 33.0|8500.0 : 30.7;-1000.0 : -47.0|8500.0 : -37.7
AT44;-1000.0 : 33.0|0.0 : 35.0|25000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5;-1000.0 : 33.0|0.0 : 35.0|8500.0 : 35.0;-1000.0 : -52.0|8500.0 : -33.2
B73320;-1000.0 : 37.4|0.0 : 39.4|8500.0 : 39.4|8501.0 : 34.0|37000.0 : 34.0;-1000.0 : -71.0|0.0 : -69.0|1.0 : -89.0|36089.0 : -17.5|41000.0 : -17.5;-1000.0 : 37.4|0.0 : 39.4|8500.0 : 39.4;-1000.0 : -71.0|8500.0 : -52.0
A332;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 34.5|41100.0 : 24.5|41500.0 : 23.7;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -30.6|36089.0 : -23.5|41500.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
E75S;-1000.0 : 35.0|41000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -8.5|41000.0 : -8.5;-1000.0 : 35.0|8000.0 : 35.0;-1000.0 : -57.0|8000.0 : -39.2
ATR72-500;-1000.0 : 33.0|0.0 : 35.0|25000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5;-1000.0 : 33.0|0.0 : 35.0|8500.0 : 35.0;-1000.0 : -52.0|8500.0 : -33.2
A20N;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 34.8|39800.0 : 27.4|41100.0 : 24.8;-2000.0 : -73.0|25000.0 : -36.5|35000.0 : -19.7|36089.0 : -17.5|41100.0 : -17.5;-2000.0 : 36.0|0.0 : 40.0|14500.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14500.0 : -15.2
MD87;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0|8501.0 : 35.0|37000.0 : 35.0;-2000.0 : -69.0|8500.0 : -69.0|8501.0 : -74.0|36089.0 : -20.0|37000.0 : -20.0;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0;-2000.0 : -69.0|8500.0 : -69.0
MD88;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0|8501.0 : 35.0|37000.0 : 35.0;-2000.0 : -69.0|8500.0 : -69.0|8501.0 : -74.0|36089.0 : -20.0|37000.0 : -20.0;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0;-2000.0 : -69.0|8500.0 : -69.0
MD81;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0|8501.0 : 35.0|37000.0 : 35.0;-2000.0 : -69.0|8500.0 : -69.0|8501.0 : -74.0|36089.0 : -20.0|37000.0 : -20.0;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0;-2000.0 : -69.0|8500.0 : -69.0
B77L;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32000.0 : -26.6|36089.0 : -18.5|43100.0 : -18.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
MD82;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0|8501.0 : 35.0|37000.0 : 35.0;-2000.0 : -69.0|8500.0 : -69.0|8501.0 : -74.0|36089.0 : -20.0|37000.0 : -20.0;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0;-2000.0 : -69.0|8500.0 : -69.0
MD83;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0|8501.0 : 35.0|37000.0 : 35.0;-2000.0 : -69.0|8500.0 : -69.0|8501.0 : -74.0|36089.0 : -20.0|37000.0 : -20.0;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0;-2000.0 : -69.0|8500.0 : -69.0
ATR42-500;-1000.0 : 33.0|0.0 : 35.0|25000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5;-1000.0 : 33.0|0.0 : 35.0|8500.0 : 35.0;-1000.0 : -52.0|8500.0 : -33.2
A310-322;-1000.0 : 38.0|0.0 : 40.0|10000.0 : 41.8|10001.0 : 34.8|36089.0 : 34.5|41100.0 : 24.5;-1000.0 : -57.0|36089.0 : -10.8|41100.0 : -14.5;-1000.0 : 38.0|0.0 : 40.0|8500.0 : 41.5;-1000.0 : -57.0|8500.0 : -45.2
A310-324;-1000.0 : 38.0|0.0 : 40.0|10000.0 : 41.8|10001.0 : 34.8|36089.0 : 34.5|41100.0 : 24.5;-1000.0 : -57.0|36089.0 : -10.8|41100.0 : -14.5;-1000.0 : 38.0|0.0 : 40.0|8500.0 : 41.5;-1000.0 : -57.0|8500.0 : -45.2
SR22;;;;
MD808321;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0|8501.0 : 35.0|37000.0 : 35.0;-2000.0 : -69.0|8500.0 : -69.0|8501.0 : -74.0|36089.0 : -20.0|37000.0 : -20.0;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0;-2000.0 : -69.0|8500.0 : -69.0
SR20;;;;
A310-204;-1000.0 : 38.0|0.0 : 40.0|10000.0 : 41.8|10001.0 : 34.8|36089.0 : 34.5|41100.0 : 24.5;-1000.0 : -57.0|36089.0 : -10.8|41100.0 : -14.5;-1000.0 : 38.0|0.0 : 40.0|8500.0 : 41.5;-1000.0 : -57.0|8500.0 : -45.2
MD808720;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0|8501.0 : 35.0|37000.0 : 35.0;-2000.0 : -69.0|8500.0 : -69.0|8501.0 : -74.0|36089.0 : -20.0|37000.0 : -20.0;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0;-2000.0 : -69.0|8500.0 : -69.0
B737W24;-2000.0 : 35.04|0.0 : 39.4|13500.0 : 39.4|13501.0 : 34.0|36089.0 : 34.0|41000.0 : 24.5;-2000.0 : -72.96|0.0 : -69.0|1.0 : -77.0|36089.0 : -16.5|41000.0 : -16.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -72.96|8500.0 : -52.2
B773RR92;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32808.0 : -30.0|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
