aircraft_Id; maximum_temperature_deviation_in_flight; minimum_temperature_deviation_in_flight; maximum_temperature_deviation_in_TOLD; minimum_temperature_deviation_in_TOLD
A340-642;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 35.0|41500.0 : 24.3;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -30.6|36089.0 : -23.5|41500.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
A388;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 35.0|43100.0 : 21.1;-2000.0 : -73.0|25000.0 : -36.5|32500.0 : -30.6|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|10000.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|10000.0 : -37.5
B752;-1000.0 : 37.0|0.0 : 39.4|10000.0 : 39.4|10001.0 : 33.9|36089.0 : 33.9|42000.0 : 22.5;-1000.0 : -79.0|0.0 : -77.0|32500.0 : -24.6|42000.0 : -17.5;-1000.0 : 37.0|0.0 : 39.4|8500.0 : 39.4;-1000.0 : -71.0|6000.0 : -57.0|8500.0 : -40.0
B753;-2000.0 : 35.5|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|42000.0 : 22.25;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -24.75|42000.0 : -17.75;-2000.0 : 35.5|0.0 : 39.4|9500.0 : 39.4;-2000.0 : -73.0|9500.0 : -50.0
E50P;-1000.0 : 35.0|41000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -3.5|41000.0 : -3.5;-1000.0 : 35.0|10000.0 : 35.0;-1000.0 : -57.0|10000.0 : -35.2
A300B4-203;-1000.0 : 38.0|0.0 : 40.0|14000.0 : 40.7|14001.0 : 34.7|36089.0 : 34.3|40000.0 : 26.5;-1000.0 : -57.0|36089.0 : -10.6|40000.0 : -13.5;-1000.0 : 38.0|0.0 : 40.0|14000.0 : 40.7;-1000.0 : -57.0|14000.0 : -38.3
A300B4-601;-1000.0 : 38.0|0.0 : 40.0|10000.0 : 39.8|10001.0 : 34.8|36089.0 : 34.3|40000.0 : 26.5;-1000.0 : -57.0|36089.0 : -10.6|40000.0 : -13.5;-1000.0 : 38.0|0.0 : 40.0|8500.0 : 39.8;-1000.0 : -57.0|8500.0 : -45.2
B772LR;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32000.0 : -26.6|36089.0 : -18.5|43100.0 : -18.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
EMB-170AR;-1000.0 : 35.0|41000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -8.5|41000.0 : -8.5;-1000.0 : 35.0|8000.0 : 35.0;-1000.0 : -57.0|8000.0 : -39.2
EMB-145LR;-1000.0 : 35.0|37000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -7.7|37000.0 : -8.5;-1000.0 : 35.0|8000.0 : 35.0;-1000.0 : -57.0|8000.0 : -39.2
